ID,Preço,Variação,Variação (%),Horário
SMFT3,R$ 22,07,+0,57 Hoje,2,65%,22/01/2026 - 12:17:43
SMTO3,R$ 16,49,-0,010 Hoje,0,061%,22/01/2026 - 12:17:53
SNSY3,R$ 11,00,1 dia,22 de jan., 10:00:00 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 12:18:03
SOJA3,R$ 8,54,+0,0100 Hoje,0,12%,22/01/2026 - 12:18:13
SOND3,R$ 38,66,1 dia,22 de jan., 09:45:37 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 12:18:23
SUZB3,R$ 53,08,+0,88 Hoje,1,69%,22/01/2026 - 12:18:32
SYNE3,R$ 4,90,0,00 Hoje,0,00%,22/01/2026 - 12:18:42
TAEE3,R$ 13,83,+0,34 Hoje,2,52%,22/01/2026 - 12:18:55
TASA3,R$ 5,53,+0,010 Hoje,0,18%,22/01/2026 - 12:19:04
TCSA3,R$ 1,24,+0,010 Hoje,0,81%,22/01/2026 - 12:19:14
TECN3,R$ 7,43,+0,13 Hoje,1,78%,22/01/2026 - 12:19:23
TELB3,R$ 10,75,1 dia,22 de jan., 11:29:00 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 12:19:33
TEND3,R$ 24,72,+0,35 Hoje,1,44%,22/01/2026 - 12:19:44
TGMA3,R$ 36,54,+0,39 Hoje,1,08%,22/01/2026 - 12:19:53
TIMS3,R$ 24,31,+0,33 Hoje,1,38%,22/01/2026 - 12:20:03
TKNO3,R$ 207,00,1 dia,22 de jan., 09:45:37 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 12:20:12
TOKY3,R$ 0,70,+0,010 Hoje,1,45%,22/01/2026 - 12:20:22
TOTS3,R$ 46,11,+0,61 Hoje,1,34%,22/01/2026 - 12:20:31
TPIS3,R$ 4,95,+0,050 Hoje,1,02%,22/01/2026 - 12:20:41
TRAD3,R$ 3,66,+0,060 Hoje,1,67%,22/01/2026 - 12:20:51
TRIS3,R$ 6,37,+0,11 Hoje,1,76%,22/01/2026 - 12:21:00
TTEN3,R$ 15,64,-0,23 Hoje,1,45%,22/01/2026 - 12:21:10
TUPY3,R$ 12,23,+0,29 Hoje,2,43%,22/01/2026 - 12:21:20
UCAS3,R$ 1,34,+0,010 Hoje,0,75%,22/01/2026 - 12:21:29
UGPA3,R$ 23,94,+0,44 Hoje,1,87%,22/01/2026 - 12:21:39
UNIP3,R$ 58,96,+0,62 Hoje,1,06%,22/01/2026 - 12:21:49
USIM3,R$ 6,46,+0,23 Hoje,3,69%,22/01/2026 - 12:21:58
VALE3,R$ 83,70,+1,20 Hoje,1,45%,22/01/2026 - 12:22:08
VAMO3,R$ 3,80,+0,070 Hoje,1,88%,22/01/2026 - 12:22:18
VBBR3,R$ 27,68,+0,73 Hoje,2,71%,22/01/2026 - 12:22:27
VITT3,R$ 4,61,+0,11 Hoje,2,44%,22/01/2026 - 12:22:37
VIVA3,R$ 29,41,+1,33 Hoje,4,74%,22/01/2026 - 12:22:47
VIVR3,R$ 0,62,0,00 Hoje,0,00%,22/01/2026 - 12:22:56
VIVT3,R$ 35,81,+1,26 Hoje,3,65%,22/01/2026 - 12:23:06
VLID3,R$ 21,56,+0,43 Hoje,2,04%,22/01/2026 - 12:23:16
VSTE3,R$ 3,90,+0,030 Hoje,0,78%,22/01/2026 - 12:23:25
VTRU3,R$ 15,87,+0,43 Hoje,2,78%,22/01/2026 - 12:23:35
VULC3,R$ 18,47,+0,50 Hoje,2,78%,22/01/2026 - 12:23:44
VVEO3,R$ 1,42,+0,030 Hoje,2,16%,22/01/2026 - 12:23:55
WDCN3,R$ 2,73,-0,010 Hoje,0,36%,22/01/2026 - 12:24:07
WEGE3,R$ 48,86,+1,27 Hoje,2,67%,22/01/2026 - 12:24:17
WEST3,R$ 5,89,1 dia,22 de jan., 12:08:36 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 12:24:27
WHRL3,R$ 4,34,1 dia,22 de jan., 11:26:24 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 12:24:37
WIZC3,R$ 9,57,+0,040 Hoje,0,42%,22/01/2026 - 12:24:47
